City,Lat,Lng,Max Temp (F),Cloudiness,Humidity,Wind Speed,Country,Date
Brazzaville,-4.2658,15.2832,75.2,75,94,4.61,CG,1619578768
Ustka,54.5805,16.8619,35.51,11,87,7.43,PL,1619578769
Mitú,1.1983,-70.1733,70.9,95,99,2.35,CO,1619578769
Tilichiki,60.4667,166.1,29.8,100,82,8.12,RU,1619578770
Raudeberg,61.9875,5.1352,37.99,15,79,15.46,NO,1619578770
High River,50.5834,-113.8687,48.0,100,45,1.99,CA,1619578755
Husavik,66.0449,-17.3389,37.4,90,87,3.44,IS,1619578770
Dragoman,42.9189,22.9317,53.01,93,94,2.95,BG,1619578771
Yuli,9.6989,10.2744,83.16,81,63,5.84,NG,1619578771
Skibbereen,51.55,-9.2667,44.6,75,87,9.22,IE,1619578771
Kattivākkam,13.2167,80.3167,84.2,20,79,6.91,IN,1619578772
Marfino,55.7028,37.3822,32.0,0,86,11.18,RU,1619578772
Lavrentiya,65.5833,-171.0,32.79,100,93,2.04,RU,1619578772
San Julián,21.0167,-102.1667,69.13,14,26,9.73,MX,1619578773
Ellisras,-23.6649,27.7443,57.6,0,32,1.81,ZA,1619578773
Naze,28.3667,129.4833,75.2,40,69,12.66,JP,1619578773
Tyukhtet,56.5389,89.3011,43.97,100,92,6.64,RU,1619578774
Doha,25.2867,51.5333,84.99,88,74,2.3,QA,1619578774
Beyneu,45.3167,55.2,58.71,47,56,11.52,KZ,1619578775
Lalibela,12.0333,39.0333,59.81,87,76,2.21,ET,1619578775
Tūkrah,32.5341,20.5791,76.95,58,22,24.36,LY,1619578775
Peniche,39.3558,-9.3811,57.99,69,90,5.99,PT,1619578775
Bethel,41.3712,-73.414,55.4,1,38,2.91,US,1619578776
Awjilah,29.1081,21.2869,71.98,0,22,10.36,LY,1619578776
Şuraabad,40.8192,49.4687,55.4,0,82,6.91,AZ,1619578777
Soure,-0.7167,-48.5233,78.49,100,83,8.12,BR,1619578777
Aberdeen,57.1437,-2.0981,41.0,75,93,6.91,GB,1619578716
St. George's,12.0564,-61.7485,80.6,20,78,23.02,GD,1619578778
Dryden,49.7833,-92.7503,50.0,1,53,3.44,CA,1619578607
Stornoway,58.2093,-6.3865,44.6,30,76,11.5,GB,1619578778
Cafarnaum,-11.6936,-41.4683,66.38,15,77,7.2,BR,1619578779
Gigmoto,13.7796,124.39,83.59,84,61,6.98,PH,1619578779
Boguchany,58.3814,97.4531,41.94,64,60,7.23,RU,1619578779
Caravelas,-17.7125,-39.2481,73.42,49,81,4.68,BR,1619578780
San Luis,-33.295,-66.3356,58.06,0,60,7.56,AR,1619578780
Kiama,-34.6833,150.8667,73.0,71,70,5.01,AU,1619578780
Ongandjera,-17.8833,15.0667,70.97,72,33,6.38,NA,1619578781
Chauk,20.8833,94.8167,91.22,19,49,9.42,MM,1619578781
Chumikan,54.7183,135.315,31.64,100,92,17.72,RU,1619578782
Lüderitz,-26.6481,15.1594,57.9,10,83,8.68,NA,1619578782
Karauli,26.5,77.0167,96.58,0,6,5.39,IN,1619578782
Kirakira,-10.4544,161.9205,83.41,98,70,6.93,SB,1619578783
Boddam,57.4667,-1.7833,43.0,75,93,6.91,GB,1619578783
Nchelenge,-9.3451,28.734,66.96,46,87,4.65,ZM,1619578783
Assemini,39.2915,9.0015,55.99,20,94,3.44,IT,1619578784
Laurel,39.0993,-76.8483,73.0,100,71,8.21,US,1619578784
Lufilufi,-13.8745,-171.5986,89.6,75,74,16.11,WS,1619578784
Béjar,40.3864,-5.7634,52.0,25,93,3.51,ES,1619578785
Biak,-0.9131,122.8766,84.06,3,64,2.3,ID,1619578785
Barkly West,-28.5354,24.5215,44.6,20,70,1.14,ZA,1619578785
Solhan,38.9634,41.0293,44.6,20,93,2.3,TR,1619578786
Porto Walter,-8.2686,-72.7439,69.33,91,92,2.77,BR,1619578786
Balkhash,46.844,74.9804,59.0,0,38,8.95,KZ,1619578787
Chernenko,44.365,39.3103,46.53,96,97,0.38,RU,1619578787
Kościerzyna,54.1223,17.9812,28.4,8,93,1.14,PL,1619578787
Cayenne,4.9333,-52.3333,73.99,40,94,4.12,GF,1619578676
La Rioja,42.25,-2.5,53.01,75,93,2.3,ES,1619578788
Ostrovnoy,68.0531,39.5131,23.0,100,86,7.65,RU,1619578788
San Carlos,9.6612,-68.5827,76.48,100,80,2.33,VE,1619578788
Rørvik,64.8621,11.2373,36.72,100,71,4.07,NO,1619578789
Mattoon,39.4831,-88.3728,75.2,1,60,12.66,US,1619578773
Coyhaique,-45.5752,-72.0662,42.85,29,93,5.21,CL,1619578789
Kiryat Gat,31.61,34.7642,59.0,75,77,2.3,IL,1619578790
Berlevåg,70.8578,29.0864,28.4,75,59,21.85,NO,1619578790
Gold Coast,-28.0,153.4333,75.0,75,82,17.27,AU,1619578790
Eureka,40.8021,-124.1637,53.6,1,82,8.05,US,1619578791
Nemuro,43.3236,145.575,59.0,75,33,12.66,JP,1619578791
Hispania,5.7993,-75.9072,59.0,90,100,2.3,CO,1619578791
Pangnirtung,66.1451,-65.7125,14.72,6,85,7.63,CA,1619578792
Hasaki,35.7333,140.8333,72.0,75,53,13.8,JP,1619578792
Kawalu,-7.3817,108.2082,79.93,53,78,4.45,ID,1619578792
Sitka,57.0531,-135.33,46.4,90,81,3.44,US,1619578793
Hwange,-18.3693,26.5019,67.48,90,68,0.98,ZW,1619578793
Nabire,-3.3667,135.4833,85.05,16,68,5.21,ID,1619578793
Chicama,-7.8447,-79.1469,68.58,98,83,4.97,PE,1619578794
Mount Gambier,-37.8333,140.7667,60.8,75,63,5.75,AU,1619578794
George Town,5.4112,100.3354,86.0,20,79,4.61,MY,1619578794
San Miguel de Cozumel,20.5083,-86.9458,80.6,20,83,8.05,MX,1619578795
Viytivka,48.426,29.5429,34.2,72,69,1.57,UA,1619578795
Kautokeino,69.0125,23.0412,7.41,90,97,4.14,NO,1619578796
Celestún,20.8667,-90.4,85.46,3,56,14.74,MX,1619578796
Nísia Floresta,-6.0911,-35.2086,77.0,20,94,5.75,BR,1619578796
Chirongui,-12.9319,45.1483,77.0,20,94,5.75,YT,1619578797
Nouakchott,18.0858,-15.9785,68.0,0,88,12.66,MR,1619578797
Boralday,43.3578,76.8594,64.4,20,45,1.86,KZ,1619578797
Kabo,7.6994,18.629,75.0,98,77,4.47,CF,1619578798
Puri,19.8,85.85,88.0,40,79,12.66,IN,1619578798
Tshikapa,-6.4167,20.8,69.93,37,95,2.3,CD,1619578701
Wilmington,34.2257,-77.9447,69.8,1,68,11.5,US,1619578582
Aloleng,16.1307,119.7824,85.33,48,61,5.84,PH,1619578799
Ugoofaaru,5.6667,73.0,83.44,96,73,5.73,MV,1619578799
Hohhot,40.8106,111.6522,50.0,0,32,13.42,CN,1619578799
Ternate,0.8,127.4,84.65,24,69,3.69,ID,1619578800
Muros,42.7762,-9.0603,54.0,19,82,1.99,ES,1619578800
Krasnoshchekovo,51.6708,82.7289,63.79,100,37,22.79,RU,1619578801
Lere,10.387,8.5726,75.76,80,69,3.96,NG,1619578801
Formosa,-26.1775,-58.1781,57.2,0,94,6.91,AR,1619578802
Sangmélima,2.9333,11.9833,68.67,100,99,2.26,CM,1619578804
Ancud,-41.8697,-73.8203,54.0,90,100,3.44,CL,1619578806
Sovetskiy,61.3614,63.5842,40.5,26,64,3.58,RU,1619578808
Tokonou,9.65,-9.7833,71.02,100,86,5.77,GN,1619578809
Capitão Poço,-1.7464,-47.0594,72.68,100,97,3.4,BR,1619578811
Mehrān,33.1222,46.1646,57.2,0,54,4.61,IR,1619578811
Freeport,40.6576,-73.5832,52.0,1,71,3.44,US,1619578812
Severobaykal'sk,55.65,109.3167,28.13,16,51,8.25,RU,1619578812
Kavaratti,10.5669,72.642,83.88,3,73,5.21,IN,1619578812
Hobyo,5.3505,48.5268,83.68,37,74,8.5,SO,1619578813
Verkhnyaya Inta,65.9811,60.3094,28.4,99,88,5.93,RU,1619578813
Portobelo,9.55,-79.65,80.6,20,73,5.75,PA,1619578814
Souillac,-20.5167,57.5167,77.0,75,88,11.5,MU,1619578814
Nässjö,57.6531,14.6968,35.6,75,75,3.44,SE,1619578815
Manono,-7.3,27.4167,68.13,61,96,2.73,CD,1619578815
Saldanha,-33.0117,17.9442,53.6,55,87,2.3,ZA,1619578815
Punta Alta,-38.8759,-62.0736,63.43,1,71,15.73,AR,1619578816
Iqaluit,63.7506,-68.5145,19.4,1,79,2.3,CA,1619578566
Tateyama,34.9833,139.8667,69.8,75,60,20.71,JP,1619578816
Rio Grande,-32.035,-52.0986,46.99,18,95,10.29,BR,1619578817
Manta,-0.95,-80.7333,75.2,75,88,8.05,EC,1619578698
Deming,32.2687,-107.7586,64.4,90,22,13.8,US,1619578817
De Aar,-30.6497,24.0123,51.33,100,61,2.51,ZA,1619578818
Morondava,-20.2833,44.2833,74.73,0,83,6.8,MG,1619578818
Nyrob,60.733,56.7202,37.24,100,97,4.18,RU,1619578819
Praia da Vitória,38.7333,-27.0667,59.0,75,88,7.38,PT,1619578819
Kuching,1.55,110.3333,82.4,20,83,3.44,MY,1619578819
The Pas,53.8251,-101.2541,28.4,90,43,9.22,CA,1619578820
Havøysund,70.9963,24.6622,26.6,75,80,11.5,NO,1619578820
Syumsi,57.1111,51.6149,36.88,90,79,11.27,RU,1619578821
Camaná,-16.6228,-72.7111,67.06,99,85,7.36,PE,1619578821
Margate,51.3813,1.3862,44.01,21,83,1.01,GB,1619578821
Yershov,51.3513,48.2766,42.73,100,72,6.26,RU,1619578822
Huarmey,-10.0681,-78.1522,66.85,90,89,8.41,PE,1619578822
Kupang,-10.1667,123.5833,83.32,75,54,0.49,ID,1619578823
Filingué,14.3521,3.3168,88.0,6,12,9.37,NE,1619578823
Ciudad Valles,21.9833,-99.0167,81.84,71,68,6.76,MX,1619578801
Monrovia,6.3005,-10.7969,74.88,100,87,4.23,LR,1619578824
Bloomsburg,41.0037,-76.4549,63.0,100,62,3.0,US,1619578824
Oranjemund,-28.55,16.4333,56.25,53,96,3.69,NA,1619578824
Eyl,7.9803,49.8164,83.14,32,72,3.94,SO,1619578825
Rozivka,46.9385,35.7724,43.09,100,88,9.57,UA,1619578825
Palembang,-2.9167,104.7458,84.2,40,84,3.31,ID,1619578826
Soyo,-6.1349,12.3689,77.27,100,88,7.02,AO,1619578826
Leshukonskoye,64.8989,45.7622,27.66,100,86,6.85,RU,1619578826
Romanovo,52.6182,81.2271,61.59,100,41,17.98,RU,1619578827
Adeje,28.1227,-16.726,66.0,75,77,2.3,ES,1619578827
Ribeira Brava,32.65,-17.0667,59.0,100,85,5.01,PT,1619578827
Jianning,27.8333,113.15,66.2,90,88,11.18,CN,1619578828
San Fernando del Valle de Catamarca,-28.4696,-65.7852,51.01,0,78,8.59,AR,1619578828
Oyama,36.3,139.8,71.01,75,49,6.91,JP,1619578828
Kamen'-Rybolov,44.7481,132.0403,55.44,99,40,12.15,RU,1619578829
Maceió,-9.6658,-35.7353,75.2,75,94,4.61,BR,1619578829
Honiara,-9.4333,159.95,80.62,99,84,3.36,SB,1619578829
Laives,46.4228,11.3348,52.0,90,100,5.75,IT,1619578830
Krasnyy Oktyabr',56.1167,38.8833,32.63,100,96,6.82,RU,1619578830
Dauriya,49.9333,116.8667,36.05,100,34,19.71,RU,1619578830
Cervo,43.6702,-7.4101,48.0,100,97,8.01,ES,1619578831
Wronki,52.7105,16.3804,36.0,0,64,8.05,PL,1619578831
Ambon City,-3.6954,128.1814,89.6,20,58,6.91,ID,1619578831
Marrakesh,31.6315,-8.0083,62.6,75,72,4.61,MA,1619578832
Tumut,-35.3,148.2167,66.2,98,55,3.44,AU,1619578832
Dnipryany,46.7463,33.2729,33.8,100,93,8.95,UA,1619578833
Paphos,34.7667,32.4167,57.2,2,67,5.75,CY,1619578833
Kununurra,-15.7667,128.7333,91.4,40,52,12.66,AU,1619578833
Pauini,-7.7136,-66.9764,71.73,88,97,2.04,BR,1619578834
Mārkāpur,15.7333,79.2833,87.93,24,50,4.54,IN,1619578834
Aldan,58.6031,125.3894,20.14,100,93,11.25,RU,1619578835
Al Bardīyah,31.7561,25.0865,68.94,0,33,9.93,LY,1619578835
Sydney,-33.8679,151.2073,70.0,75,56,6.91,AU,1619578763
Aklavik,68.2191,-135.0107,30.2,6,34,5.75,CA,1619578835
Kuala Sungai Baru,2.3594,102.0353,84.2,20,79,3.27,MY,1619578836
Morgan City,29.6994,-91.2068,75.99,40,94,8.05,US,1619578836
Ryōtsu-minato,38.0833,138.4333,64.4,75,42,10.36,JP,1619578837
Glyadyanskoye,54.9075,65.0883,46.4,100,74,7.27,RU,1619578837
Korla,41.7597,86.1469,65.64,35,25,7.52,CN,1619578837
Suntar,62.1444,117.6319,31.03,70,53,3.87,RU,1619578830
Standerton,-26.9337,29.2415,50.0,10,64,2.1,ZA,1619578838
Crotone,39.0851,17.1178,60.01,92,52,7.0,IT,1619578838
Amahai,-3.3333,128.9167,86.05,98,59,4.05,ID,1619578839
San Cristobal,7.7669,-72.225,77.0,40,100,4.61,VE,1619578839
Abhā,18.2164,42.5053,59.0,0,82,2.37,SA,1619578839
Nuuk,64.1835,-51.7216,32.0,18,93,10.36,GL,1619578840
Pravia,43.4906,-6.1508,55.99,75,87,4.61,ES,1619578840
Kyren,51.6828,102.1408,43.12,59,62,4.83,RU,1619578841
Ojinaga,29.5667,-104.4167,84.2,1,10,9.22,MX,1619578841
Zarya,55.7553,38.0958,37.4,0,81,8.95,RU,1619578841
Tamandaré,-8.7597,-35.1047,76.78,9,88,5.75,BR,1619578842
Tianpeng,30.9866,103.9393,62.6,0,88,4.47,CN,1619578842
Burnie,-41.0667,145.9167,55.99,86,65,7.0,AU,1619578842
Rawson,-43.3002,-65.1023,65.59,82,41,10.38,AR,1619578843
Mingyue,43.1069,128.9217,57.27,71,23,13.51,CN,1619578843
Teya,60.3778,92.6267,39.36,72,89,4.47,RU,1619578843
Chapais,49.7834,-74.8492,46.4,90,57,5.75,CA,1619578844
Tauranga,-37.6861,176.1667,57.0,100,73,1.99,NZ,1619578783
Kumul,42.8,93.45,64.81,71,12,3.44,CN,1619578844
Itoman,26.1247,127.6694,77.0,75,65,10.36,JP,1619578845
Kargasok,59.0556,80.8572,44.8,100,75,1.61,RU,1619578845
Leopoldov,48.4458,17.7646,44.6,100,57,4.61,SK,1619578845
Lukovetskiy,64.2956,41.9211,30.2,90,74,4.47,RU,1619578846
Auki,-8.7676,160.7034,80.83,100,82,6.31,SB,1619578846
Nagorsk,59.3172,50.8078,37.67,100,97,2.39,RU,1619578846
Pacific Grove,36.6177,-121.9166,55.99,0,83,9.57,US,1619578643
Roald,62.5833,6.1333,37.0,90,93,9.22,NO,1619578847
Vao,-22.6667,167.4833,73.92,0,52,16.37,NC,1619578847
Coromandel,-18.4733,-47.2003,64.24,0,62,3.33,BR,1619578848
Mfou,3.7159,11.6427,67.93,100,99,1.01,CM,1619578848
Pailón,-17.65,-62.75,68.0,75,73,5.75,BO,1619578848
Ariquemes,-9.9133,-63.0408,71.37,39,96,2.86,BR,1619578849
Fare,-16.7,-151.0167,81.52,81,71,9.93,PF,1619578849
Lewiston,44.1003,-70.2148,55.4,1,18,5.75,US,1619578850
Myitkyina,25.3833,97.4,95.45,21,29,2.95,MM,1619578850
Goderich,43.7501,-81.7165,57.2,100,67,11.5,CA,1619578713
Bhadrāchalam,17.6667,80.8833,91.11,11,49,6.42,IN,1619578850
Cerritos,33.8583,-118.0648,62.01,1,67,6.91,US,1619578851
Tuxpan,19.55,-103.4,66.34,5,60,3.58,MX,1619578851
Oriximiná,-1.7656,-55.8661,74.8,100,93,1.57,BR,1619578851
Safi,32.2994,-9.2372,61.86,9,84,0.22,MA,1619578852
Oshawa,43.9001,-78.8496,51.8,90,58,5.75,CA,1619578784
Viedma,-40.8135,-62.9967,64.33,83,60,12.39,AR,1619578852
